ID,site,longitude,long.recenter,latitude,depth_avg,tags,long.recenter.new,latitude.new,Shifted
309,NAOBT1,178.831,178.831,-17.622,4.25,WCS Fiji,178.831,-17.622,0
310,NAOBT2,178.829,178.829,-17.618,6.87,WCS Fiji,178.829,-17.618,0
311,NAOBT2,178.829,178.829,-17.618,4.23,WCS Fiji,178.829,-17.618,0
312,NAOBT3,178.83,178.83,-17.614,4.75,WCS Fiji,178.83,-17.614,0
313,NAOBT3,178.83,178.83,-17.614,4.67,WCS Fiji,178.83,-17.614,0
314,NAOCF1,178.82422,178.82422,-17.64391,5.82,WCS Fiji,178.82422,-17.64391,0
315,NAOCF2,178.82054,178.82054,-17.63753,4.98,WCS Fiji,178.82054,-17.63753,0
316,NAOCF3,178.80315,178.80315,-17.62048,5.93,WCS Fiji,178.80315,-17.62048,0
317,NAOCF4,178.79863,178.79863,-17.61859,4.88,WCS Fiji,178.79863,-17.61859,0
318,NAOCT1,178.81694,178.81694,-17.62539,5.68,WCS Fiji,178.81694,-17.62539,0
319,NAOCT2,178.81316,178.81316,-17.62515,4.08,WCS Fiji,178.81316,-17.62515,0
320,Navakavu_Lagoon,178.343,178.343,-18.158,6,ZMT (Leibniz Centre for Tropical Marine Research),178.343,-18.158,0
321,Navakavu_Lagoon_Tabu,178.367,178.367,-18.144,6,ZMT (Leibniz Centre for Tropical Marine Research),178.367,-18.144,0
322,Navakavu_Plat,178.345,178.345,-18.15,3,ZMT (Leibniz Centre for Tropical Marine Research),178.345,-18.15,0
323,Navakavu_Plat_Tabu,178.363,178.363,-18.146,3,ZMT (Leibniz Centre for Tropical Marine Research),178.363,-18.146,0
324,NC1,179.4391,179.4391,-17.2389,8.05,WCS Fiji,179.5,-17.25,1
325,NC2,179.4384,179.4384,-17.2511,8.53,WCS Fiji,179.5,-17.25,1
326,NF1,179.4099,179.4099,-17.3848,5.4,WCS Fiji,179.4099,-17.3848,0
327,NF2,179.41577,179.41577,-17.37898,1.27,WCS Fiji,179.41577,-17.37898,0
328,NF3,179.4189,179.4189,-17.3787,0.93,WCS Fiji,179.4189,-17.3787,0
329,NF4,179.4239,179.4239,-17.3709,0.78,WCS Fiji,179.4166667,-17.41666667,1
330,NF5,179.42178,179.42178,-17.36679,0.85,WCS Fiji,179.4166667,-17.41666667,1
331,NF6,179.42468,179.42468,-17.36799,1.05,WCS Fiji,179.4166667,-17.41666667,1
332,NKC,179.0695,179.0695,-16.8447,5,WCS Fiji,179.0695,-16.8447,0
333,NKT,179.0594,179.0594,-16.8458,4,WCS Fiji,179.0594,-16.8458,0
334,NOB1,179.1038,179.1038,-16.8597,8.83,WCS Fiji,179.1038,-16.8597,0
335,NOB2,179.105,179.105,-16.8978,12.44,WCS Fiji,179.105,-16.8978,0
336,NOB3,179.0686,179.0686,-16.9395,8.65,WCS Fiji,179.0686,-16.9395,0
337,NP1,179.01736,179.01736,-16.94588,7.62,WCS Fiji,179.01736,-16.94588,0
338,NP2,179.0007,179.0007,-16.9461,6,WCS Fiji,179.0007,-16.9461,0
339,NS1,179.4467,179.4467,-17.3378,4.47,WCS Fiji,179.5,-17.33333333,1
340,NS3,179.4217,179.4217,-17.3741,5.5,WCS Fiji,179.4166667,-17.41666667,1
341,NT1,179.4217,179.4217,-17.3741,1,WCS Fiji,179.4166667,-17.41666667,1
342,NT2,179.4206,179.4206,-17.3774,1.6,WCS Fiji,179.4206,-17.3774,0
343,NT3,179.4244,179.4244,-17.3749,2.03,WCS Fiji,179.4166667,-17.41666667,1
344,NTRFN1,178.382,178.382,-17.509,5.73,WCS Fiji,178.382,-17.509,0
345,NTRFN7,178.398,178.398,-17.516,5.32,WCS Fiji,178.398,-17.516,0
346,NTRFT4,178.38,178.38,-17.495,5.72,WCS Fiji,178.38,-17.495,0
347,NTRFT5,178.381,178.381,-17.499,6.1,WCS Fiji,178.381,-17.499,0
348,NTRFT7,178.378,178.378,-17.496,5.53,WCS Fiji,178.378,-17.496,0
349,NTRFT8,178.376,178.376,-17.501,4.73,WCS Fiji,178.376,-17.501,0
350,NV1,179.3578,179.3578,-17.294,6,WCS Fiji,179.3578,-17.294,0
351,NV4,179.3684,179.3684,-17.3146,5.17,WCS Fiji,179.3684,-17.3146,0
352,OB1A,179.034167,179.034167,-16.300117,10,Fiji Ministry of Fisheries,179.034167,-16.300117,0
353,OB1B,179.032683,179.032683,-16.213,10,Fiji Ministry of Fisheries,179.032683,-16.213,0
354,PT2,179.0556,179.0556,-16.8447,8.46,WCS Fiji,179.0556,-16.8447,0
355,Ratstail,178.381,178.381,-18.137,5,ZMT (Leibniz Centre for Tropical Marine Research),178.381,-18.137,0
356,RF13,179.1032,179.1032,-16.9187,9.4,WCS Fiji,179.1032,-16.9187,0
357,RF18,179.0162,179.0162,-16.9932,6.9,WCS Fiji,179.0162,-16.9932,0
358,RF8,179.0873,179.0873,-16.871,9.6,WCS Fiji,179.0873,-16.871,0
359,Site 1,179.308722,179.308722,-16.344039,10,Fiji Ministry of Fisheries,179.308722,-16.344039,0
360,Site 2,179.277861,179.277861,-16.295139,10,Fiji Ministry of Fisheries,179.277861,-16.295139,0
361,Site 3A,179.133472,179.133472,-16.268417,5,Fiji Ministry of Fisheries,179.133472,-16.268417,0
362,Site 4,179.035083,179.035083,-16.240417,10,Fiji Ministry of Fisheries,179.035083,-16.240417,0
363,SOL001A,178.777817,178.777817,-17.094474,8.67,WCS Fiji,178.777817,-17.094474,0
364,SOL002,178.7788483,178.7788483,-17.09148276,1,WCS Fiji,178.7788483,-17.09148276,0
365,SOL003,178.7785938,178.7785938,-17.08747731,8.67,WCS Fiji,178.7785938,-17.08747731,0
366,SOL004,178.785561,178.785561,-17.0930191,7.13,WCS Fiji,178.785561,-17.0930191,0
367,SOL005,178.7883519,178.7883519,-17.09121123,1.3,WCS Fiji,178.7883519,-17.09121123,0
368,SOL006,178.7910955,178.7910955,-17.09089016,7.3,WCS Fiji,178.7910955,-17.09089016,0
369,SOL007,178.797611,178.797611,-17.097643,6,WCS Fiji,178.797611,-17.097643,0
370,SOL008,178.797855,178.797855,-17.093721,1.2,WCS Fiji,178.797855,-17.093721,0
371,SOL009,178.7989416,178.7989416,-17.09107596,5,WCS Fiji,178.7989416,-17.09107596,0
372,SOL010,178.8043404,178.8043404,-17.10324043,8,WCS Fiji,178.8043404,-17.10324043,0
373,SOL012,178.8054584,178.8054584,-17.09637033,8,WCS Fiji,178.8054584,-17.09637033,0
374,SOL013,178.8079022,178.8079022,-17.09066817,8,WCS Fiji,178.8079022,-17.09066817,0
375,SOL014,178.8036246,178.8036246,-17.08766966,8,WCS Fiji,178.8036246,-17.08766966,0
376,SOL015,178.8119751,178.8119751,-17.08578061,5.6,WCS Fiji,178.8119751,-17.08578061,0
377,SOL016,178.8094918,178.8094918,-17.08183199,5.3,WCS Fiji,178.8094918,-17.08183199,0
378,SOL017,178.819578,178.819578,-17.08578061,8,WCS Fiji,178.819578,-17.08578061,0
379,SOL018,178.8184802,178.8184802,-17.08257432,6.2,WCS Fiji,178.8184802,-17.08257432,0
380,SOL019,178.8269094,178.8269094,-17.08876745,8,WCS Fiji,178.8269094,-17.08876745,0
381,SOL021,178.8238992,178.8238992,-17.08116685,8,WCS Fiji,178.8238992,-17.08116685,0
382,SOL022,178.8455915,178.8455915,-17.08821234,10,WCS Fiji,178.8455915,-17.08821234,0
383,SOL023,178.8388568,178.8388568,-17.08469448,1,WCS Fiji,178.8388568,-17.08469448,0
384,SOL024,178.8453735,178.8453735,-17.08306529,1,WCS Fiji,178.8453735,-17.08306529,0
385,SOL025,178.8559632,178.8559632,-17.08523754,1.5,WCS Fiji,178.8559632,-17.08523754,0
386,SOL026,178.864164,178.864164,-17.07838168,8,WCS Fiji,178.864164,-17.07838168,0
387,SOL027,178.8651953,178.8651953,-17.06867413,3.33,WCS Fiji,178.8651953,-17.06867413,0
388,SOL028,178.8730697,178.8730697,-17.06487269,1,WCS Fiji,178.8730697,-17.06487269,0
389,SOL029,178.8907002,178.8907002,-17.06344948,7.7,WCS Fiji,178.8907002,-17.06344948,0
390,SOL030,178.8836594,178.8836594,-17.05699827,4,WCS Fiji,178.8836594,-17.05699827,0
391,SOL031,178.7704546,178.7704546,-17.01453925,1,WCS Fiji,178.7704546,-17.01453925,0
392,SOL033,178.7992132,178.7992132,-16.98151254,1,WCS Fiji,178.7992132,-16.98151254,0
393,SOL034,178.8396713,178.8396713,-17.01898388,1,WCS Fiji,178.8396713,-17.01898388,0
394,SOL035,178.8377706,178.8377706,-17.01681162,8.17,WCS Fiji,178.8377706,-17.01681162,0
395,SOL111,178.8058997,178.8058997,-17.09916913,1.1,WCS Fiji,178.8058997,-17.09916913,0
396,SOL120,178.823896,178.823896,-17.081489,1,WCS Fiji,178.823896,-17.081489,0
397,SOL132,178.7929679,178.7929679,-16.99997668,1.4,WCS Fiji,178.7929679,-16.99997668,0
398,TF1,179.4471,179.4471,-17.30246,7.67,WCS Fiji,179.5,-17.33333333,1
399,TF2,179.45132,179.45132,-17.2996,8.03,WCS Fiji,179.5,-17.33333333,1
400,TF3,179.44435,179.44435,-17.29677,6.8,WCS Fiji,179.5,-17.33333333,1
401,TF4,179.43878,179.43878,-17.27405,7.72,WCS Fiji,179.5,-17.25,1
402,TF5,179.43959,179.43959,-17.26915,7.82,WCS Fiji,179.5,-17.25,1
403,TT1,179.44206,179.44206,-17.29116,7.92,WCS Fiji,179.5,-17.25,1
404,TT2,179.44337,179.44337,-17.287,7.45,WCS Fiji,179.5,-17.25,1
405,TT3,179.4375,179.4375,-17.28759,4.15,WCS Fiji,179.5,-17.25,1
406,TY01,-179.8482333,180.1517667,-18.99895,7.6,WCS Fiji,180.0833333,-19,1
407,TY02,-179.84985,180.15015,-18.99918333,10.03,WCS Fiji,180.0833333,-19,1
408,TY04,-179.8485667,180.1514333,-19.00278333,11.52,WCS Fiji,180.0833333,-19,1
409,TY06,-179.8502833,180.1497167,-18.99221667,6.5,WCS Fiji,180.0833333,-19,1
410,TY08,-179.8363333,180.1636667,-19.00211667,10.1,WCS Fiji,180.0833333,-19,1
411,TY10,-179.8595667,180.1404333,-19.00768333,8,WCS Fiji,180.0833333,-19,1
412,TY12,-179.9563889,180.0436111,-19.20944444,9.88,WCS Fiji,180.0436111,-19.20944444,0
413,TY13,-179.8567167,180.1432833,-18.99095,8.42,WCS Fiji,180.0833333,-19,1
