"","site","latitude","longitude","long.recenter","depth_avg","tags"
"173","KB07",-17.08317,179.04076,179.04076,9,"WCS Fiji"
"174","KB09",-16.96729,178.99922,178.99922,7.53,"WCS Fiji"
"175","KB10",-16.9428,179.0636,179.0636,10.3,"WCS Fiji"
"176","KB11",-16.9383,179.0698,179.0698,9.09,"WCS Fiji"
"177","KB12",-16.8526,179.1052,179.1052,12,"WCS Fiji"
"178","KB13",-16.91,179.1059,179.1059,10.4,"WCS Fiji"
"179","KB14",-16.889,179.1018,179.1018,9.5,"WCS Fiji"
"180","KB15",-16.93207,179.08084,179.08084,9.32,"WCS Fiji"
"181","KB17",-16.95352,179.00135,179.00135,7.88,"WCS Fiji"
"182","KBO6",-17.07122,179.03417,179.03417,8,"WCS Fiji"
"183","KD2",-17.3392,179.3717,179.3717,1.5,"WCS Fiji"
"184","KD3",-17.3688,179.3779,179.3779,6.3,"WCS Fiji"
"185","KR7",-16.9439,178.97691,178.97691,7.8,"WCS Fiji"
"186","KR9",-16.8366,179.0974,179.0974,5.64,"WCS Fiji"
"187","LKN01",-16.519228,178.6986,178.6986,1.5,"WCS Fiji"
"188","LKN02A",-16.483683,178.776548,178.776548,2,"WCS Fiji"
"189","LKN05A",-16.572249,178.684113,178.684113,7,"WCS Fiji"
"190","LKN06A",-16.571406,178.695908,178.695908,1.23,"WCS Fiji"
"191","LKN07A",-16.588698,178.692922,178.692922,6.13,"WCS Fiji"
"192","LKN08A",-16.584868,178.695599,178.695599,5,"WCS Fiji"
"193","LKN11A",-16.602339,178.618038,178.618038,6.13,"WCS Fiji"
"194","LKN13A",-16.637449,178.496722,178.496722,6.33,"WCS Fiji"
"195","LKN14",-16.619766,178.538709,178.538709,0.5,"WCS Fiji"
"196","LKN15",-16.505782,178.679571,178.679571,1.3,"WCS Fiji"
"197","LKN17A",-16.544447,178.624206,178.624206,5.67,"WCS Fiji"
"198","LKN20A",-16.544822,178.662773,178.662773,5.43,"WCS Fiji"
"199","LKN21A",-16.510794,178.750171,178.750171,2,"WCS Fiji"
"200","LKN24A",-16.497988,178.766056,178.766056,8.6,"WCS Fiji"
"201","LKN27",-16.655603,178.504697,178.504697,7.07,"WCS Fiji"
"202","LKN29A",-16.617495,178.510654,178.510654,7.4,"WCS Fiji"
"203","LKN30",-16.634864,178.50536,178.50536,6.23,"WCS Fiji"
"204","LKN31A",-16.672689,178.49641,178.49641,2,"WCS Fiji"
"205","LKN33A",-16.481716,178.749017,178.749017,5.33,"WCS Fiji"
"206","LKN34A",-16.524794,178.738048,178.738048,0.83,"WCS Fiji"
"207","LKN35A",-16.5302,178.726918,178.726918,7.17,"WCS Fiji"
"208","LKN36",-16.521164,178.66492,178.66492,6.8,"WCS Fiji"
"209","LKN37A",-16.514113,178.649745,178.649745,8,"WCS Fiji"
"210","LKN38",-16.591495,178.528198,178.528198,5.53,"WCS Fiji"
"211","LKN49A",-16.626171,178.610994,178.610994,1,"WCS Fiji"
"212","LKN53A",-16.5446,178.607849,178.607849,6,"WCS Fiji"
"213","LKN55A",-16.585149,178.547607,178.547607,1.5,"WCS Fiji"
"214","LKN68",-16.578535,178.634581,178.634581,7.33,"WCS Fiji"
"215","LKN69",-16.568415,178.609725,178.609725,1,"WCS Fiji"
"216","LKN70",-16.538965,178.642406,178.642406,1.33,"WCS Fiji"
